CSV Source date,Country,Data as of,Case definition,Number of cases (Cumulative),Number of cases (In past 21 days),Number of deaths (cumulative)
2014-12-12,Sierra Leone,,10 December 2014,Confirmed,6497,1690
2014-12-12,Sierra Leone,,10 December 2014,Probable,79,174
2014-12-12,Sierra Leone,,10 December 2014,Suspected,1493,35
2014-12-12,Sierra Leone,,10 December 2014,Total,8069,1899
2014-12-12,All countries,,,Total,18188,6583
2014-12-15,Guinea,,13 December 2014,Confirmed,2115,1255
2014-12-15,Guinea,,13 December 2014,Probable,263,263
2014-12-15,Guinea,,13 December 2014,Suspected,16,0
2014-12-15,Guinea,,13 December 2014,Total,2394,1518
2014-12-15,Liberia,,9 December 2014,Confirmed,2946,Not available
2014-12-15,Liberia,,9 December 2014,Probable,1801,Not available
2014-12-15,Liberia,,9 December 2014,Suspected,3050,Not available
2014-12-15,Liberia,,9 December 2014,Total,7797,3290
2014-12-15,Sierra Leone,,13 December 2014,Confirmed,6638,1824
2014-12-15,Sierra Leone,,13 December 2014,Probable,79,174
2014-12-15,Sierra Leone,,13 December 2014,Suspected,1556,35
2014-12-15,Sierra Leone,,13 December 2014,Total,8273,2033
2014-12-15,All countries,,,Total,18464,6841
2014-12-17,Guinea,14 December 2014,Confirmed,2127,249,1262
2014-12-17,Guinea,14 December 2014,Probable,263,Not reported,263
2014-12-17,Guinea,14 December 2014,Suspected,26,Not reported,0
2014-12-17,Guinea,14 December 2014,Total,2416,249,1525
2014-12-17,Liberia,9 December 2014,Confirmed,2946,185,Data not available.
2014-12-17,Liberia,9 December 2014,Probable,1801,Not reported,Data not available.
2014-12-17,Liberia,9 December 2014,Suspected,3050,Not reported,Data not available.
2014-12-17,Liberia,9 December 2014,Total,7797,185,3290
2014-12-17,Sierra Leone,14 December 2014,Confirmed,6702,1261,1876
2014-12-17,Sierra Leone,14 December 2014,Probable,79,Not reported,174
2014-12-17,Sierra Leone,14 December 2014,Suspected,1575,Not reported,35
2014-12-17,Sierra Leone,14 December 2014,Total,8356,1261,2085
2014-12-17,All countries,,Total,18569,1695,6900
2014-12-19,Guinea,,16 December 2014,Confirmed,2164,1287
2014-12-19,Guinea,,16 December 2014,Probable,263,263
2014-12-19,Guinea,,16 December 2014,Suspected,27,0
2014-12-19,Guinea,,16 December 2014,Total,2453,1550
2014-12-19,Liberia,,14 December 2014,Confirmed,3021,Not available
2014-12-19,Liberia,,14 December 2014,Probable,1764,Not available
2014-12-19,Liberia,,14 December 2014,Suspected,3034,Not available
2014-12-19,Liberia,,14 December 2014,Total,7819,3346
2014-12-19,Sierra Leone,,17 December 2014,Confirmed,6856,2111
2014-12-19,Sierra Leone,,17 December 2014,Probable,287,208
2014-12-19,Sierra Leone,,17 December 2014,Suspected,1616,158
2014-12-19,Sierra Leone,,17 December 2014,Total,8759,2477
2014-12-19,All countries,,,Total,19031,7373
2014-12-22,Guinea,,20 December 2014,Confirmed,2259,1323
2014-12-22,Guinea,,20 December 2014,Probable,263,263
2014-12-22,Guinea,,20 December 2014,Suspected,49,0
2014-12-22,Guinea,,20 December 2014,Total,2571,1586
2014-12-22,Liberia,,18 December 2014,Confirmed,3085,Not available
2014-12-22,Liberia,,18 December 2014,Probable,1754,Not available
2014-12-22,Liberia,,18 December 2014,Suspected,2991,Not available
2014-12-22,Liberia,,18 December 2014,Total,7830,3376
2014-12-22,Sierra Leone,,20 December 2014,Confirmed,6975,2190
2014-12-22,Sierra Leone,,20 December 2014,Probable,287,208
2014-12-22,Sierra Leone,,20 December 2014,Suspected,1677,158
2014-12-22,Sierra Leone,,20 December 2014,Total,8939,2556
2014-12-22,All countries,,,Total,19340,7518
2014-12-23,Guinea,,21 December 2014,Confirmed,2284,1344
2014-12-23,Guinea,,21 December 2014,Probable,263,263
2014-12-23,Guinea,,21 December 2014,Suspected,50,0
2014-12-23,Guinea,,21 December 2014,Total,2597,1607
2014-12-23,Liberia,,18 December 2014,Confirmed,3085,Not available
2014-12-23,Liberia,,18 December 2014,Probable,1754,Not available
2014-12-23,Liberia,,18 December 2014,Suspected,2991,Not available
2014-12-23,Liberia,,18 December 2014,Total,7830,3376
2014-12-23,Sierra Leone,,21 December 2014,Confirmed,7017,2216
2014-12-23,Sierra Leone,,21 December 2014,Probable,287,208
2014-12-23,Sierra Leone,,21 December 2014,Suspected,1700,158
2014-12-23,Sierra Leone,,21 December 2014,Total,9004,2582
2014-12-23,All countries,,,Total,19431,7565
2014-12-24,Guinea,21 December 2014,Confirmed,2284,328,1344
2014-12-24,Guinea,21 December 2014,Probable,263,Not reported,263
2014-12-24,Guinea,21 December 2014,Suspected,50,Not reported,0
2014-12-24,Guinea,21 December 2014,Total,2597,328,1607
2014-12-24,Liberia,20 December 2014,Confirmed,3085,121,Not available
2014-12-24,Liberia,20 December 2014,Probable,1757,Not reported,Not available
2014-12-24,Liberia,20 December 2014,Suspected,3020,Not reported,Not available
2014-12-24,Liberia,20 December 2014,Total,7862,121,3384
2014-12-24,Sierra Leone,21 December 2014,Confirmed,7017,1039,2216
2014-12-24,Sierra Leone,21 December 2014,Probable,287,Not reported,208
2014-12-24,Sierra Leone,21 December 2014,Suspected,1700,Not reported,158
2014-12-24,Sierra Leone,21 December 2014,Total,9004,1039,2582
2014-12-24,All countries,,Total,19463,1488,7573
2014-12-26,Guinea,,24 December 2014,Confirmed,2342,1385
2014-12-26,Guinea,,24 December 2014,Probable,269,269
2014-12-26,Guinea,,24 December 2014,Suspected,19,0
2014-12-26,Guinea,,24 December 2014,Total,2630,1654
2014-12-26,Liberia,,20 December 2014,Confirmed,3085,Not available
2014-12-26,Liberia,,20 December 2014,Probable,1757,Not available
2014-12-26,Liberia,,20 December 2014,Suspected,3020,Not available
2014-12-26,Liberia,,20 December 2014,Total,7862,3384
2014-12-26,Sierra Leone,,24 December 2014,Confirmed,7160,2289
2014-12-26,Sierra Leone,,24 December 2014,Probable,287,208
2014-12-26,Sierra Leone,,24 December 2014,Suspected,1756,158
2014-12-26,Sierra Leone,,24 December 2014,Total,9203,2655
2014-12-26,All countries,,,Total,19695,7693
2014-12-29,Guinea,,27 December 2014,Confirmed,2384,1422
2014-12-29,Guinea,,27 December 2014,Probable,275,275
2014-12-29,Guinea,,27 December 2014,Suspected,36,0
2014-12-29,Guinea,,27 December 2014,Total,2695,1697
2014-12-29,Liberia,,24 December 2014,Confirmed,3108,Not available
2014-12-29,Liberia,,24 December 2014,Probable,1773,Not available
2014-12-29,Liberia,,24 December 2014,Suspected,3096,Not available
2014-12-29,Liberia,,24 December 2014,Total,7977,3413
2014-12-29,Sierra Leone,,27 December 2014,Confirmed,7326,2366
2014-12-29,Sierra Leone,,27 December 2014,Probable,287,208
2014-12-29,Sierra Leone,,27 December 2014,Suspected,1796,158
2014-12-29,Sierra Leone,,27 December 2014,Total,9409,2732
2014-12-29,All countries,,,Total,20081,7842
2014-12-30,Guinea,,28 December 2014,Confirmed,2397,1433
2014-12-30,Guinea,,28 December 2014,Probable,275,275
2014-12-30,Guinea,,28 December 2014,Suspected,34,0
2014-12-30,Guinea,,28 December 2014,Total,2706,1708
2014-12-30,Liberia,,24 December 2014,Confirmed,3108,Not available
2014-12-30,Liberia,,24 December 2014,Probable,1773,Not available
2014-12-30,Liberia,,24 December 2014,Suspected,3096,Not available
2014-12-30,Liberia,,24 December 2014,Total,7977,3413
2014-12-30,Sierra Leone,,28 December 2014,Confirmed,7354,2392
2014-12-30,Sierra Leone,,28 December 2014,Probable,287,208
2014-12-30,Sierra Leone,,28 December 2014,Suspected,1805,158
2014-12-30,Sierra Leone,,28 December 2014,Total,9446,2758
2014-12-30,All countries,,,Total,20129,7879
2014-12-31,Guinea,28 December 2014,Confirmed,2397,346,1433
2014-12-31,Guinea,28 December 2014,Probable,276,Not reported,276
2014-12-31,Guinea,28 December 2014,Suspected,34,Not reported,0
2014-12-31,Guinea,28 December 2014,Total,2707,346,1709
2014-12-31,Liberia,28 December 2014,Confirmed,3110,92,Not available
2014-12-31,Liberia,28 December 2014,Probable,1776,Not reported,Not available
2014-12-31,Liberia,28 December 2014,Suspected,3132,Not reported,Not available
2014-12-31,Liberia,28 December 2014,Total,8018,92,3423
2014-12-31,Sierra Leone,28 December 2014,Confirmed,7354,979,2392
2014-12-31,Sierra Leone,28 December 2014,Probable,287,Not reported,208
2014-12-31,Sierra Leone,28 December 2014,Suspected,1805,Not reported,158
2014-12-31,Sierra Leone,28 December 2014,Total,9446,979,2758
2014-12-31,All countries,,Total,20171,1417,7890
2015-01-02,Guinea,,31 December 2014,Confirmed,2435,1463
2015-01-02,Guinea,,31 December 2014,Probable,276,276
2015-01-02,Guinea,,31 December 2014,Suspected,19,0
2015-01-02,Guinea,,31 December 2014,Total,2730,1739
2015-01-02,Liberia,,28 December 2014,Confirmed,3110,Not available
2015-01-02,Liberia,,28 December 2014,Probable,1776,Not available
2015-01-02,Liberia,,28 December 2014,Suspected,3132,Not available
2015-01-02,Liberia,,28 December 2014,Total,8018,3423
2015-01-02,Sierra Leone,,31 December 2014,Confirmed,7476,2461
2015-01-02,Sierra Leone,,31 December 2014,Probable,287,208
2015-01-02,Sierra Leone,,31 December 2014,Suspected,1870,158
2015-01-02,Sierra Leone,,31 December 2014,Total,9633,2827
2015-01-02,All countries,,,Total,20381,7989
2015-01-05,Guinea,,3 January 2015,Confirmed,2465,1488
2015-01-05,Guinea,,3 January 2015,Probable,280,280
2015-01-05,Guinea,,3 January 2015,Suspected,26,0
2015-01-05,Guinea,,3 January 2015,Total,2769,1767
2015-01-05,Liberia,,31 December 2014,Confirmed,3116,Not available
2015-01-05,Liberia,,31 December 2014,Probable,1805,Not available
2015-01-05,Liberia,,31 December 2014,Suspected,3198,Not available
2015-01-05,Liberia,,31 December 2014,Total,8115,3471
2015-01-05,Sierra Leone,,3 January 2015,Confirmed,7570,2549
2015-01-05,Sierra Leone,,3 January 2015,Probable,287,208
2015-01-05,Sierra Leone,,3 January 2015,Suspected,1915,158
2015-01-05,Sierra Leone,,3 January 2015,Total,9772,2915
2015-01-05,All countries,,,Total,20656,8153
2015-01-06,Guinea,,4 January 2015,Confirmed,2471,1499
2015-01-06,Guinea,,4 January 2015,Probable,282,282
2015-01-06,Guinea,,4 January 2015,Suspected,22,0
2015-01-06,Guinea,,4 January 2015,Total,2775,1781
2015-01-06,Liberia,,2 January 2015,Confirmed,3118,Not available
2015-01-06,Liberia,,2 January 2015,Probable,1816,Not available
2015-01-06,Liberia,,2 January 2015,Suspected,3223,Not available
2015-01-06,Liberia,,2 January 2015,Total,8157,3496
2015-01-06,Sierra Leone,,4 January 2015,Confirmed,7602,2577
2015-01-06,Sierra Leone,,4 January 2015,Probable,287,208
2015-01-06,Sierra Leone,,4 January 2015,Suspected,1891,158
2015-01-06,Sierra Leone,,4 January 2015,Total,9780,2943
2015-01-06,All countries,,,Total,20712,8220
