CSV Source date,Country,Data as of,Case definition,Number of cases (Cumulative),Number of cases (In past 21 days),Number of deaths (cumulative)
2015-07-31,All countries,,,Total,27840,11280
2015-08-03,Guinea,,1 August 2015,Confirmed,3327,2070
2015-08-03,Guinea,,1 August 2015,Probable,452,452
2015-08-03,Guinea,,1 August 2015,Suspected,7,Not available
2015-08-03,Guinea,,1 August 2015,Total,3786,2522
2015-08-03,Liberia,,22 July 2015,Confirmed,6,2
2015-08-03,Liberia,,22 July 2015,Probable,0,Not available
2015-08-03,Liberia,,22 July 2015,Suspected,Not available,Not available
2015-08-03,Liberia,,22 July 2015,Total,6,2
2015-08-03,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-08-03,Liberia,,9 May 2015,Probable,1879,Not available
2015-08-03,Liberia,,9 May 2015,Suspected,5636,Not available
2015-08-03,Liberia,,9 May 2015,Total,10666,4806
2015-08-03,Sierra Leone,,1 August 2015,Confirmed,8695,3585
2015-08-03,Sierra Leone,,1 August 2015,Probable,287,208
2015-08-03,Sierra Leone,,1 August 2015,Suspected,4420,158
2015-08-03,Sierra Leone,,1 August 2015,Total,13402,3951
2015-08-03,All countries,,,Confirmed,15179,Not available
2015-08-03,All countries,,,Probable,2618,Not available
2015-08-03,All countries,,,Suspected,10063,Not available
2015-08-03,All countries,,,Total,27860,11281
2015-08-04,Guinea,,2 August 2015,Confirmed,3327,2070
2015-08-04,Guinea,,2 August 2015,Probable,452,452
2015-08-04,Guinea,,2 August 2015,Suspected,5,Not available
2015-08-04,Guinea,,2 August 2015,Total,3784,2522
2015-08-04,Liberia,,22 July 2015,Confirmed,6,2
2015-08-04,Liberia,,22 July 2015,Probable,0,Not available
2015-08-04,Liberia,,22 July 2015,Suspected,Not available,Not available
2015-08-04,Liberia,,22 July 2015,Total,6,2
2015-08-04,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-08-04,Liberia,,9 May 2015,Probable,1879,Not available
2015-08-04,Liberia,,9 May 2015,Suspected,5636,Not available
2015-08-04,Liberia,,9 May 2015,Total,10666,4806
2015-08-04,Sierra Leone,,2 August 2015,Confirmed,8695,3585
2015-08-04,Sierra Leone,,2 August 2015,Probable,287,208
2015-08-04,Sierra Leone,,2 August 2015,Suspected,4424,158
2015-08-04,Sierra Leone,,2 August 2015,Total,13406,3951
2015-08-04,All countries,,,Confirmed,15179,Not available
2015-08-04,All countries,,,Probable,2618,Not available
2015-08-04,All countries,,,Suspected,10065,Not available
2015-08-04,All countries,,,Total,27862,11281
2015-08-05,Guinea,2 August 2015,Confirmed,3327,27,2070
2015-08-05,Guinea,2 August 2015,Probable,452,Not reported.,452
2015-08-05,Guinea,2 August 2015,Suspected,5,Not reported.,Data not available.
2015-08-05,Guinea,2 August 2015,Total,3784,27,2522
2015-08-05,Liberia,2 August 2015,Confirmed,6,0,2
2015-08-05,Liberia,2 August 2015,Probable,0,Not reported.,Data not available.
2015-08-05,Liberia,2 August 2015,Suspected,Data not available.,Not reported.,Data not available.
2015-08-05,Liberia,2 August 2015,Total,6,0,2
2015-08-05,Liberia,9 May 2015,Confirmed,3151,,Data not available.
2015-08-05,Liberia,9 May 2015,Probable,1879,,Data not available.
2015-08-05,Liberia,9 May 2015,Suspected,5636,,Data not available.
2015-08-05,Liberia,9 May 2015,Total,10666,,4806
2015-08-05,Sierra Leone,2 August 2015,Confirmed,8695,7,3585
2015-08-05,Sierra Leone,2 August 2015,Probable,287,Not reported.,208
2015-08-05,Sierra Leone,2 August 2015,Suspected,4424,Not reported.,158
2015-08-05,Sierra Leone,2 August 2015,Total,13406,7,3951
2015-08-05,All countries,,Confirmed,15179,34,Data not available.
2015-08-05,All countries,,Probable,2618,Not reported.,Data not available.
2015-08-05,All countries,,Suspected,10065,Not reported.,Data not available.
2015-08-05,All countries,,Total,27862,34,11281
2015-08-06,Guinea,,4 August 2015,Confirmed,3329,2072
2015-08-06,Guinea,,4 August 2015,Probable,452,452
2015-08-06,Guinea,,4 August 2015,Suspected,11,Not available
2015-08-06,Guinea,,4 August 2015,Total,3792,2524
2015-08-06,Liberia,,3 August 2015,Confirmed,6,2
2015-08-06,Liberia,,3 August 2015,Probable,0,Not available
2015-08-06,Liberia,,3 August 2015,Suspected,Not available,Not available
2015-08-06,Liberia,,3 August 2015,Total,6,2
2015-08-06,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-08-06,Liberia,,9 May 2015,Probable,1879,Not available
2015-08-06,Liberia,,9 May 2015,Suspected,5636,Not available
2015-08-06,Liberia,,9 May 2015,Total,10666,4806
2015-08-06,Sierra Leone,,4 August 2015,Confirmed,8696,3585
2015-08-06,Sierra Leone,,4 August 2015,Probable,287,208
2015-08-06,Sierra Leone,,4 August 2015,Suspected,4443,158
2015-08-06,Sierra Leone,,4 August 2015,Total,13426,3951
2015-08-06,All countries,,,Confirmed,15182,Not available
2015-08-06,All countries,,,Probable,2618,Not available
2015-08-06,All countries,,,Suspected,10090,Not available
2015-08-06,All countries,,,Total,27890,11283
2015-08-07,Guinea,,5 August 2015,Confirmed,3329,2072
2015-08-07,Guinea,,5 August 2015,Probable,452,452
2015-08-07,Guinea,,5 August 2015,Suspected,14,Not available
2015-08-07,Guinea,,5 August 2015,Total,3795,2524
2015-08-07,Liberia,,3 August 2015,Confirmed,6,2
2015-08-07,Liberia,,3 August 2015,Probable,0,Not available
2015-08-07,Liberia,,3 August 2015,Suspected,Not available,Not available
2015-08-07,Liberia,,3 August 2015,Total,6,2
2015-08-07,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-08-07,Liberia,,9 May 2015,Probable,1879,Not available
2015-08-07,Liberia,,9 May 2015,Suspected,5636,Not available
2015-08-07,Liberia,,9 May 2015,Total,10666,4806
2015-08-07,Sierra Leone,,5 August 2015,Confirmed,8696,3585
2015-08-07,Sierra Leone,,5 August 2015,Probable,287,208
2015-08-07,Sierra Leone,,5 August 2015,Suspected,4445,158
2015-08-07,Sierra Leone,,5 August 2015,Total,13428,3951
2015-08-07,All countries,,,Confirmed,15182,Not available
2015-08-07,All countries,,,Probable,2618,Not available
2015-08-07,All countries,,,Suspected,10095,Not available
2015-08-07,All countries,,,Total,27895,11283
2015-08-10,Guinea,,8 August 2015,Confirmed,3329,2072
2015-08-10,Guinea,,8 August 2015,Probable,452,452
2015-08-10,Guinea,,8 August 2015,Suspected,10,Not available
2015-08-10,Guinea,,8 August 2015,Total,3791,2524
2015-08-10,Liberia,,6 August 2015,Confirmed,6,2
2015-08-10,Liberia,,6 August 2015,Probable,0,Not available
2015-08-10,Liberia,,6 August 2015,Suspected,Not available,Not available
2015-08-10,Liberia,,6 August 2015,Total,6,2
2015-08-10,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-08-10,Liberia,,9 May 2015,Probable,1879,Not available
2015-08-10,Liberia,,9 May 2015,Suspected,5636,Not available
2015-08-10,Liberia,,9 May 2015,Total,10666,4806
2015-08-10,Sierra Leone,,8 August 2015,Confirmed,8697,3585
2015-08-10,Sierra Leone,,8 August 2015,Probable,287,208
2015-08-10,Sierra Leone,,8 August 2015,Suspected,4481,158
2015-08-10,Sierra Leone,,8 August 2015,Total,13465,3951
2015-08-10,All countries,,,Confirmed,15183,Not available
2015-08-10,All countries,,,Probable,2618,Not available
2015-08-10,All countries,,,Suspected,10127,Not available
2015-08-10,All countries,,,Total,27928,11283
2015-08-11,Guinea,,9 August 2015,Confirmed,3329,2072
2015-08-11,Guinea,,9 August 2015,Probable,452,452
2015-08-11,Guinea,,9 August 2015,Suspected,6,Not available
2015-08-11,Guinea,,9 August 2015,Total,3787,2524
2015-08-11,Liberia,,6 August 2015,Confirmed,6,2
2015-08-11,Liberia,,6 August 2015,Probable,0,Not available
2015-08-11,Liberia,,6 August 2015,Suspected,Not available,Not available
2015-08-11,Liberia,,6 August 2015,Total,6,2
2015-08-11,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-08-11,Liberia,,9 May 2015,Probable,1879,Not available
2015-08-11,Liberia,,9 May 2015,Suspected,5636,Not available
2015-08-11,Liberia,,9 May 2015,Total,10666,4806
2015-08-11,Sierra Leone,,9 August 2015,Confirmed,8697,3585
2015-08-11,Sierra Leone,,9 August 2015,Probable,287,208
2015-08-11,Sierra Leone,,9 August 2015,Suspected,4486,158
2015-08-11,Sierra Leone,,9 August 2015,Total,13470,3951
2015-08-11,All countries,,,Confirmed,15183,Not available
2015-08-11,All countries,,,Probable,2618,Not available
2015-08-11,All countries,,,Suspected,10128,Not available
2015-08-11,All countries,,,Total,27929,11283
2015-08-12,Guinea,9 August 2015,Confirmed,3329,7,2072
2015-08-12,Guinea,9 August 2015,Probable,452,Not reported.,452
2015-08-12,Guinea,9 August 2015,Suspected,6,Not reported.,Data not available.
2015-08-12,Guinea,9 August 2015,Total,3787,7,2524
2015-08-12,Liberia,6 August 2015,Confirmed,6,0,2
2015-08-12,Liberia,6 August 2015,Probable,0,Not reported.,Data not available.
2015-08-12,Liberia,6 August 2015,Suspected,Data not available.,Not reported.,Data not available.
2015-08-12,Liberia,6 August 2015,Total,6,0,2
2015-08-12,Liberia,9 May 2015,Confirmed,3151,,Data not available.
2015-08-12,Liberia,9 May 2015,Probable,1879,,Data not available.
2015-08-12,Liberia,9 May 2015,Suspected,5636,,Data not available.
2015-08-12,Liberia,9 May 2015,Total,10666,,4806
2015-08-12,Sierra Leone,9 August 2015,Confirmed,8697,6,3585
2015-08-12,Sierra Leone,9 August 2015,Probable,287,Not reported.,208
2015-08-12,Sierra Leone,9 August 2015,Suspected,4486,Not reported.,158
2015-08-12,Sierra Leone,9 August 2015,Total,13470,6,3951
2015-08-12,All countries,,Confirmed,15183,13,Data not available.
2015-08-12,All countries,,Probable,2618,Not reported.,Data not available.
2015-08-12,All countries,,Suspected,10128,Not reported.,Data not available.
2015-08-12,All countries,,Total,27929,13,11283
2015-08-13,Guinea,,11 August 2015,Confirmed,3330,2072
2015-08-13,Guinea,,11 August 2015,Probable,452,452
2015-08-13,Guinea,,11 August 2015,Suspected,10,Not available
2015-08-13,Guinea,,11 August 2015,Total,3792,2524
2015-08-13,Liberia,,6 August 2015,Confirmed,6,2
2015-08-13,Liberia,,6 August 2015,Probable,0,Not available
2015-08-13,Liberia,,6 August 2015,Suspected,Not available,Not available
2015-08-13,Liberia,,6 August 2015,Total,6,2
2015-08-13,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-08-13,Liberia,,9 May 2015,Probable,1879,Not available
2015-08-13,Liberia,,9 May 2015,Suspected,5636,Not available
2015-08-13,Liberia,,9 May 2015,Total,10666,4806
2015-08-13,Sierra Leone,,11 August 2015,Confirmed,8697,3585
2015-08-13,Sierra Leone,,11 August 2015,Probable,287,208
2015-08-13,Sierra Leone,,11 August 2015,Suspected,4500,158
2015-08-13,Sierra Leone,,11 August 2015,Total,13484,3951
2015-08-13,All countries,,,Confirmed,15184,Not available
2015-08-13,All countries,,,Probable,2618,Not available
2015-08-13,All countries,,,Suspected,10146,Not available
2015-08-13,All countries,,,Total,27948,11283
2015-08-14,Guinea,,12 August 2015,Confirmed,3330,2072
2015-08-14,Guinea,,12 August 2015,Probable,452,452
2015-08-14,Guinea,,12 August 2015,Suspected,9,Not available
2015-08-14,Guinea,,12 August 2015,Total,3791,2524
2015-08-14,Liberia,,6 August 2015,Confirmed,6,2
2015-08-14,Liberia,,6 August 2015,Probable,0,Not available
2015-08-14,Liberia,,6 August 2015,Suspected,Not available,Not available
2015-08-14,Liberia,,6 August 2015,Total,6,2
2015-08-14,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-08-14,Liberia,,9 May 2015,Probable,1879,Not available
2015-08-14,Liberia,,9 May 2015,Suspected,5636,Not available
2015-08-14,Liberia,,9 May 2015,Total,10666,4806
2015-08-14,Sierra Leone,,12 August 2015,Confirmed,8697,3586
2015-08-14,Sierra Leone,,12 August 2015,Probable,287,208
2015-08-14,Sierra Leone,,12 August 2015,Suspected,4501,158
2015-08-14,Sierra Leone,,12 August 2015,Total,13485,3952
2015-08-14,All countries,,,Confirmed,15184,Not available
2015-08-14,All countries,,,Probable,2618,Not available
2015-08-14,All countries,,,Suspected,10146,Not available
2015-08-14,All countries,,,Total,27948,11284
2015-08-17,Guinea,,15 August 2015,Confirmed,3332,2072
2015-08-17,Guinea,,15 August 2015,Probable,452,452
2015-08-17,Guinea,,15 August 2015,Suspected,6,Not available
2015-08-17,Guinea,,15 August 2015,Total,3790,2524
2015-08-17,Liberia,,13 August 2015,Confirmed,6,2
2015-08-17,Liberia,,13 August 2015,Probable,0,Not available
2015-08-17,Liberia,,13 August 2015,Suspected,Not available,Not available
2015-08-17,Liberia,,13 August 2015,Total,6,2
2015-08-17,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-08-17,Liberia,,9 May 2015,Probable,1879,Not available
2015-08-17,Liberia,,9 May 2015,Suspected,5636,Not available
2015-08-17,Liberia,,9 May 2015,Total,10666,4806
2015-08-17,Sierra Leone,,14 August 2015,Confirmed,8697,3586
2015-08-17,Sierra Leone,,14 August 2015,Probable,287,208
2015-08-17,Sierra Leone,,14 August 2015,Suspected,4505,158
2015-08-17,Sierra Leone,,14 August 2015,Total,13489,3952
2015-08-17,All countries,,,Confirmed,15186,Not available
2015-08-17,All countries,,,Probable,2618,Not available
2015-08-17,All countries,,,Suspected,10147,Not available
2015-08-17,All countries,,,Total,27951,11284
2015-08-18,Guinea,,16 August 2015,Confirmed,3332,2072
2015-08-18,Guinea,,16 August 2015,Probable,452,452
2015-08-18,Guinea,,16 August 2015,Suspected,2,Not available
2015-08-18,Guinea,,16 August 2015,Total,3786,2524
2015-08-18,Liberia,,13 August 2015,Confirmed,6,2
2015-08-18,Liberia,,13 August 2015,Probable,0,Not available
2015-08-18,Liberia,,13 August 2015,Suspected,Not available,Not available
2015-08-18,Liberia,,13 August 2015,Total,6,2
2015-08-18,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-08-18,Liberia,,9 May 2015,Probable,1879,Not available
2015-08-18,Liberia,,9 May 2015,Suspected,5636,Not available
2015-08-18,Liberia,,9 May 2015,Total,10666,4806
2015-08-18,Sierra Leone,,16 August 2015,Confirmed,8697,3586
2015-08-18,Sierra Leone,,16 August 2015,Probable,287,208
2015-08-18,Sierra Leone,,16 August 2015,Suspected,4510,158
2015-08-18,Sierra Leone,,16 August 2015,Total,13494,3952
2015-08-18,All countries,,,Confirmed,15186,Not available
2015-08-18,All countries,,,Probable,2618,Not available
2015-08-18,All countries,,,Suspected,10148,Not available
2015-08-18,All countries,,,Total,27952,11284
2015-08-19,Guinea,16 August 2015,Confirmed,3332,6,2072
2015-08-19,Guinea,16 August 2015,Probable,452,Not reported.,452
2015-08-19,Guinea,16 August 2015,Suspected,2,Not reported.,Data not available.
2015-08-19,Guinea,16 August 2015,Total,3786,6,2524
2015-08-19,Liberia,13 August 2015,Confirmed,6,0,2
2015-08-19,Liberia,13 August 2015,Probable,0,Not reported.,Data not available.
2015-08-19,Liberia,13 August 2015,Suspected,Data not available.,Not reported.,Data not available.
2015-08-19,Liberia,13 August 2015,Total,6,0,2
2015-08-19,Liberia,9 May 2015,Confirmed,3151,,Data not available.
2015-08-19,Liberia,9 May 2015,Probable,1879,,Data not available.
2015-08-19,Liberia,9 May 2015,Suspected,5636,,Data not available.
2015-08-19,Liberia,9 May 2015,Total,10666,,4806
2015-08-19,Sierra Leone,16 August 2015,Confirmed,8697,3,3586
2015-08-19,Sierra Leone,16 August 2015,Probable,287,Not reported.,208
2015-08-19,Sierra Leone,16 August 2015,Suspected,4510,Not reported.,158
2015-08-19,Sierra Leone,16 August 2015,Total,13494,3,3952
2015-08-19,All countries,,Confirmed,15186,9,Data not available.
2015-08-19,All countries,,Probable,2618,Not reported.,Data not available.
2015-08-19,All countries,,Suspected,10148,Not reported.,Data not available.
2015-08-19,All countries,,Total,27952,9,11284
2015-08-20,Guinea,,18 August 2015,Confirmed,3334,2074
2015-08-20,Guinea,,18 August 2015,Probable,452,452
2015-08-20,Guinea,,18 August 2015,Suspected,6,Not available
2015-08-20,Guinea,,18 August 2015,Total,3792,2526
2015-08-20,Liberia,,13 August 2015,Confirmed,6,2
2015-08-20,Liberia,,13 August 2015,Probable,0,Not available
2015-08-20,Liberia,,13 August 2015,Suspected,Not available,Not available
2015-08-20,Liberia,,13 August 2015,Total,6,2
2015-08-20,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-08-20,Liberia,,9 May 2015,Probable,1879,Not available
2015-08-20,Liberia,,9 May 2015,Suspected,5636,Not available
2015-08-20,Liberia,,9 May 2015,Total,10666,4806
2015-08-20,Sierra Leone,,18 August 2015,Confirmed,8697,3586
2015-08-20,Sierra Leone,,18 August 2015,Probable,287,208
2015-08-20,Sierra Leone,,18 August 2015,Suspected,4534,158
2015-08-20,Sierra Leone,,18 August 2015,Total,13518,3952
2015-08-20,All countries,,,Confirmed,15188,Not available
2015-08-20,All countries,,,Probable,2618,Not available
2015-08-20,All countries,,,Suspected,10176,Not available
2015-08-20,All countries,,,Total,27982,11286
2015-08-21,Guinea,,19 August 2015,Confirmed,3334,2074
2015-08-21,Guinea,,19 August 2015,Probable,452,452
2015-08-21,Guinea,,19 August 2015,Suspected,9,Not available
2015-08-21,Guinea,,19 August 2015,Total,3795,2526
2015-08-21,Liberia,,13 August 2015,Confirmed,6,2
2015-08-21,Liberia,,13 August 2015,Probable,0,Not available
2015-08-21,Liberia,,13 August 2015,Suspected,Not available,Not available
2015-08-21,Liberia,,13 August 2015,Total,6,2
2015-08-21,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-08-21,Liberia,,9 May 2015,Probable,1879,Not available
2015-08-21,Liberia,,9 May 2015,Suspected,5636,Not available
2015-08-21,Liberia,,9 May 2015,Total,10666,4806
2015-08-21,Sierra Leone,,19 August 2015,Confirmed,8697,3586
2015-08-21,Sierra Leone,,19 August 2015,Probable,287,208
2015-08-21,Sierra Leone,,19 August 2015,Suspected,4549,158
2015-08-21,Sierra Leone,,19 August 2015,Total,13533,3952
2015-08-21,All countries,,,Confirmed,15188,Not available
2015-08-21,All countries,,,Probable,2618,Not available
2015-08-21,All countries,,,Suspected,10194,Not available
2015-08-21,All countries,,,Total,28000,11286
2015-08-24,Guinea,,22 August 2015,Confirmed,3334,2075
2015-08-24,Guinea,,22 August 2015,Probable,452,452
2015-08-24,Guinea,,22 August 2015,Suspected,4,Not available
2015-08-24,Guinea,,22 August 2015,Total,3790,2527
2015-08-24,Liberia,,20 August 2015,Confirmed,6,2
2015-08-24,Liberia,,20 August 2015,Probable,0,Not available
2015-08-24,Liberia,,20 August 2015,Suspected,Not available,Not available
2015-08-24,Liberia,,20 August 2015,Total,6,2
2015-08-24,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-08-24,Liberia,,9 May 2015,Probable,1879,Not available
2015-08-24,Liberia,,9 May 2015,Suspected,5636,Not available
2015-08-24,Liberia,,9 May 2015,Total,10666,4806
2015-08-24,Sierra Leone,,22 August 2015,Confirmed,8697,3586
2015-08-24,Sierra Leone,,22 August 2015,Probable,287,208
2015-08-24,Sierra Leone,,22 August 2015,Suspected,4554,158
2015-08-24,Sierra Leone,,22 August 2015,Total,13538,3952
2015-08-24,All countries,,,Confirmed,15188,Not available
2015-08-24,All countries,,,Probable,2618,Not available
2015-08-24,All countries,,,Suspected,10194,Not available
2015-08-24,All countries,,,Total,28000,11287
2015-08-25,Guinea,,23 August 2015,Confirmed,3335,2075
2015-08-25,Guinea,,23 August 2015,Probable,452,452
2015-08-25,Guinea,,23 August 2015,Suspected,5,Not available
2015-08-25,Guinea,,23 August 2015,Total,3792,2527
2015-08-25,Liberia,,20 August 2015,Confirmed,6,2
2015-08-25,Liberia,,20 August 2015,Probable,0,Not available
2015-08-25,Liberia,,20 August 2015,Suspected,Not available,Not available
2015-08-25,Liberia,,20 August 2015,Total,6,2
2015-08-25,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-08-25,Liberia,,9 May 2015,Probable,1879,Not available
2015-08-25,Liberia,,9 May 2015,Suspected,5636,Not available
2015-08-25,Liberia,,9 May 2015,Total,10666,4806
2015-08-25,Sierra Leone,,23 August 2015,Confirmed,8697,3586
2015-08-25,Sierra Leone,,23 August 2015,Probable,287,208
2015-08-25,Sierra Leone,,23 August 2015,Suspected,4557,158
2015-08-25,Sierra Leone,,23 August 2015,Total,13541,3952
2015-08-25,All countries,,,Confirmed,15189,Not available
2015-08-25,All countries,,,Probable,2618,Not available
2015-08-25,All countries,,,Suspected,10198,Not available
2015-08-25,All countries,,,Total,28005,11287
2015-08-26,Guinea,23 August 2015,Confirmed,3335,8,2075
2015-08-26,Guinea,23 August 2015,Probable,452,Not reported.,452
2015-08-26,Guinea,23 August 2015,Suspected,5,Not reported.,Data not available.
2015-08-26,Guinea,23 August 2015,Total,3792,8,2527
2015-08-26,Liberia,20 August 2015,Confirmed,6,0,2
2015-08-26,Liberia,20 August 2015,Probable,0,Not reported.,Data not available.
2015-08-26,Liberia,20 August 2015,Suspected,Data not available.,Not reported.,Data not available.
2015-08-26,Liberia,20 August 2015,Total,6,0,2
2015-08-26,Liberia,9 May 2015,Confirmed,3151,,Data not available.
2015-08-26,Liberia,9 May 2015,Probable,1879,,Data not available.
2015-08-26,Liberia,9 May 2015,Suspected,5636,,Data not available.
2015-08-26,Liberia,9 May 2015,Total,10666,,4806
2015-08-26,Sierra Leone,23 August 2015,Confirmed,8697,1,3586
2015-08-26,Sierra Leone,23 August 2015,Probable,287,Not reported.,208
2015-08-26,Sierra Leone,23 August 2015,Suspected,4557,Not reported.,158
2015-08-26,Sierra Leone,23 August 2015,Total,13541,1,3952
2015-08-26,All countries,,Confirmed,15189,9,Data not available.
2015-08-26,All countries,,Probable,2618,Not reported.,Data not available.
2015-08-26,All countries,,Suspected,10198,Not reported.,Data not available.
2015-08-26,All countries,,Total,28005,9,11287
2015-08-27,Guinea,,25 August 2015,Confirmed,3336,2076
2015-08-27,Guinea,,25 August 2015,Probable,452,452
2015-08-27,Guinea,,25 August 2015,Suspected,9,Not available
2015-08-27,Guinea,,25 August 2015,Total,3797,2528
2015-08-27,Liberia,,20 August 2015,Confirmed,6,2
2015-08-27,Liberia,,20 August 2015,Probable,0,Not available
2015-08-27,Liberia,,20 August 2015,Suspected,Not available,Not available
2015-08-27,Liberia,,20 August 2015,Total,6,2
2015-08-27,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-08-27,Liberia,,9 May 2015,Probable,1879,Not available
2015-08-27,Liberia,,9 May 2015,Suspected,5636,Not available
2015-08-27,Liberia,,9 May 2015,Total,10666,4806
2015-08-27,Sierra Leone,,25 August 2015,Confirmed,8697,3586
2015-08-27,Sierra Leone,,25 August 2015,Probable,287,208
2015-08-27,Sierra Leone,,25 August 2015,Suspected,4598,158
2015-08-27,Sierra Leone,,25 August 2015,Total,13582,3952
2015-08-27,All countries,,,Confirmed,15190,Not available
2015-08-27,All countries,,,Probable,2618,Not available
2015-08-27,All countries,,,Suspected,10243,Not available
2015-08-27,All countries,,,Total,28051,11288
2015-08-28,Guinea,,26 August 2015,Confirmed,3336,2076
2015-08-28,Guinea,,26 August 2015,Probable,452,452
2015-08-28,Guinea,,26 August 2015,Suspected,9,Not available
2015-08-28,Guinea,,26 August 2015,Total,3797,2528
2015-08-28,Liberia,,20 August 2015,Confirmed,6,2
2015-08-28,Liberia,,20 August 2015,Probable,0,Not available
2015-08-28,Liberia,,20 August 2015,Suspected,Not available,Not available
2015-08-28,Liberia,,20 August 2015,Total,6,2
2015-08-28,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-08-28,Liberia,,9 May 2015,Probable,1879,Not available
2015-08-28,Liberia,,9 May 2015,Suspected,5636,Not available
2015-08-28,Liberia,,9 May 2015,Total,10666,4806
2015-08-28,Sierra Leone,,26 August 2015,Confirmed,8697,3586
2015-08-28,Sierra Leone,,26 August 2015,Probable,287,208
2015-08-28,Sierra Leone,,26 August 2015,Suspected,4602,158
2015-08-28,Sierra Leone,,26 August 2015,Total,13586,3952
2015-08-28,All countries,,,Confirmed,15190,Not available
2015-08-28,All countries,,,Probable,2618,Not available
2015-08-28,All countries,,,Suspected,10247,Not available
2015-08-28,All countries,,,Total,28055,11288
2015-08-31,Guinea,,29 August 2015,Confirmed,3337,2076
2015-08-31,Guinea,,29 August 2015,Probable,452,452
2015-08-31,Guinea,,29 August 2015,Suspected,1,Not available
2015-08-31,Guinea,,29 August 2015,Total,3790,2528
2015-08-31,Liberia,,20 August 2015,Confirmed,6,2
2015-08-31,Liberia,,20 August 2015,Probable,0,Not available
2015-08-31,Liberia,,20 August 2015,Suspected,Not available,Not available
2015-08-31,Liberia,,20 August 2015,Total,6,2
2015-08-31,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-08-31,Liberia,,9 May 2015,Probable,1879,Not available
2015-08-31,Liberia,,9 May 2015,Suspected,5636,Not available
2015-08-31,Liberia,,9 May 2015,Total,10666,4806
2015-08-31,Sierra Leone,,29 August 2015,Confirmed,8698,3587
2015-08-31,Sierra Leone,,29 August 2015,Probable,287,208
2015-08-31,Sierra Leone,,29 August 2015,Suspected,4618,158
2015-08-31,Sierra Leone,,29 August 2015,Total,13603,3953
2015-08-31,All countries,,,Confirmed,15192,Not available
2015-08-31,All countries,,,Probable,2618,Not available
2015-08-31,All countries,,,Suspected,10255,Not available
2015-08-31,All countries,,,Total,28065,11289
2015-09-01,Guinea,,30 August 2015,Confirmed,3337,2077
2015-09-01,Guinea,,30 August 2015,Probable,452,452
2015-09-01,Guinea,,30 August 2015,Suspected,3,Not available
2015-09-01,Guinea,,30 August 2015,Total,3792,2529
2015-09-01,Liberia,,20 August 2015,Confirmed,6,2
2015-09-01,Liberia,,20 August 2015,Probable,0,Not available
2015-09-01,Liberia,,20 August 2015,Suspected,Not available,Not available
2015-09-01,Liberia,,20 August 2015,Total,6,2
2015-09-01,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-09-01,Liberia,,9 May 2015,Probable,1879,Not available
2015-09-01,Liberia,,9 May 2015,Suspected,5636,Not available
2015-09-01,Liberia,,9 May 2015,Total,10666,4806
2015-09-01,Sierra Leone,,30 August 2015,Confirmed,8698,3587
2015-09-01,Sierra Leone,,30 August 2015,Probable,287,208
2015-09-01,Sierra Leone,,30 August 2015,Suspected,4624,158
2015-09-01,Sierra Leone,,30 August 2015,Total,13609,3953
2015-09-01,All countries,,,Confirmed,15192,Not available
2015-09-01,All countries,,,Probable,2618,Not available
2015-09-01,All countries,,,Suspected,10263,Not available
2015-09-01,All countries,,,Total,28073,11290
2015-09-02,Guinea,30 August 2015,Confirmed,3337,8,2077
2015-09-02,Guinea,30 August 2015,Probable,452,Not reported.,452
2015-09-02,Guinea,30 August 2015,Suspected,3,Not reported.,Data not available.
2015-09-02,Guinea,30 August 2015,Total,3792,8,2529
2015-09-02,Liberia,20 August 2015,Confirmed,6,0,2
2015-09-02,Liberia,20 August 2015,Probable,Not reported.,Not reported.,Data not available.
2015-09-02,Liberia,20 August 2015,Suspected,Data not available.,Not reported.,Data not available.
2015-09-02,Liberia,20 August 2015,Total,6,0,2
2015-09-02,Liberia,9 May 2015,Confirmed,3151,,Data not available.
2015-09-02,Liberia,9 May 2015,Probable,1879,,Data not available.
2015-09-02,Liberia,9 May 2015,Suspected,5636,,Data not available.
2015-09-02,Liberia,9 May 2015,Total,10666,,4806
2015-09-02,Sierra Leone,30 August 2015,Confirmed,8698,1,3587
2015-09-02,Sierra Leone,30 August 2015,Probable,287,Not reported.,208
2015-09-02,Sierra Leone,30 August 2015,Suspected,4624,Not reported.,158
2015-09-02,Sierra Leone,30 August 2015,Total,13609,1,3953
2015-09-02,All countries,,Confirmed,15192,9,Data not available.
